Designator,Mid X,Mid Y,Rotation,Layer
C2,189.992,-60.894,270.0,top
C3,143.19,-60.894,270.0,top
J1,138.487,-51.308,180.0,bottom
J2,193.04,-51.772,180.0,bottom
Q1,143.256,-70.104,270.0,top
R1,154.94,-51.308,0.0,top
R10,183.388,-60.96,0.0,top
R11,183.388,-59.436,0.0,top
R12,183.388,-57.912,0.0,top
R13,183.388,-56.388,0.0,top
R14,183.388,-54.864,0.0,top
R15,183.388,-53.34,0.0,top
R16,183.388,-51.816,0.0,top
R17,143.256,-66.548,0.0,top
R2,154.94,-61.976,0.0,top
R3,154.94,-60.452,0.0,top
R4,154.94,-58.928,0.0,top
R5,154.94,-57.404,0.0,top
R6,154.94,-55.88,0.0,top
R7,154.94,-54.356,0.0,top
R8,154.94,-52.832,0.0,top
R9,183.388,-62.484,0.0,top
U1,148.336,-56.896,180.0,top
U2,176.276,-57.404,180.0,top
U3,146.812,-77.7855,90.0,top
U6,180.848,-77.724,90.0,top
U7,179.324,-72.644,90.0,bottom
