Designator,Mid X,Mid Y,Rotation,Layer
C1,143.764,-86.741,90.0,top
C2,143.764,-91.821,270.0,top
C3,162.052,-77.216,270.0,top
C4,162.052,-80.391,90.0,top
C5,162.56,-104.661,270.0,top
C6,161.925,-102.235,0.0,top
CH32V1,165.989,-86.868,0.0,top
D1,157.911,-83.331,0.0,top
J1,164.47,-93.726,90.0,top
J2,155.57,-97.536,90.0,top
J3,138.557,-88.773,180.0,top
Q1,157.5585,-93.726,0.0,top
R1,165.989,-72.009,180.0,top
R2,166.624,-77.47,180.0,top
R3,165.608,-99.314,180.0,top
R4,166.179,-104.902,180.0,top
R5,154.559,-93.726,270.0,top
R6,157.797,-90.932,180.0,top
R7,157.671,-86.106,0.0,top
U1,149.479,-88.138,0.0,top
U2,166.6295,-74.676,0.0,top
U3,166.116,-102.108,0.0,top
